StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,easy_attn,deviceinfo_Browser,deviceinfo_Version,deviceinfo_Operating System,deviceinfo_Resolution,Q204,Q205_Browser,Q205_Version,Q205_Operating System,Q205_Resolution,Age,Race,GEN,Edu,HHincome,Chk1_1,Chk1_2,Chk1_3,Chk1_4,Chk1_5,Chk1_6,Chk1_7,Chk1_8,Chk1_9,ABLE,More,Less,IMP_1,IMP_2,IMP_3,IMP_4,IMP_5,IMP_6,Vol_1,Vol_2,Vol_3,Vol_4,Vol_5,Vol_6,Vol_7,Vol_8,Vol_9,Vol_10,With_1,With_2,With_3,With_4,With_5,With_6,With_7,With_8,With_9,With_10,Comp_1,Comp_2,Comp_3,Comp_4,Comp_5,Comp_6,Comp_7,Comp_8,Comp_9,Comp_10,Plt_1,Plt_2,Plt_3,Plt_4,Plt_5,Plt_6,Plt_7,Plt_8,Plt_9,Plt_10,ABL2,POP,Ind_1,Ind_2,Ind_3,Ind_4,Ind_5,Ind_6,Ind_7,Ind_8,Ind_9,Ind_10,HAP_1,Ord_1,Ord_2,Ord_3,Ord_4,Ord_5,Ord_6,Ord_7,Ord_8,Ord_9,Ord_10,HLTH,Enth_1,Enth_2,Enth_3,Enth_4,Enth_5,Enth_6,Enth_7,Enth_8,Enth_9,Enth_10,Asrt_1,Asrt_2,Asrt_3,Asrt_4,Asrt_5,Asrt_6,Asrt_7,Asrt_8,Asrt_9,Asrt_10,HOT,Intel_1,Intel_2,Intel_3,Intel_4,Intel_5,Intel_6,Intel_7,Intel_8,Intel_9,Intel_10,Open_1,Open_2,Open_3,Open_4,Open_5,Open_6,Open_7,Open_8,Open_9,Open_10,T1_page_submit,T1_click_count,S1,T2_page_submit,T2_click_count,S2,T3_page_submit,T3_click_count,S3,T4_page_submit,T4_click_count,S4,T5_page_submit,T5_click_count,S5,T6_page_submit,T6_click_count,S6,T7_page_submit,T7_click_count,S7,T8_page_submit,T8_click_count,S8,T9_page_submit,T9_click_count,S9,T10_page_submit,T10_click_count,S10,GRP_1,GRP_2,GRP_3,GRP_4,GRP_5,GRP_6,GRP_7,GRP_8,easy_attn2,total_na
4/18/2020 9:18,4/18/2020 9:26,0,104.222.27.33,100,464,1,4/18/2020 9:26,R_2WTO4NC7r9uJ06i,,,,,33.59030151,-101.9371033,anonymous,EN,0,Chrome,80.0.3987.163,Macintosh,1440x900,,,,,,21,1,2,16,1,On,Off,Off,Off,Off,Off,Off,Off,Off,1,3,,2,3,3,2,3,3,3,2,3,3,3,4,3,3,4,3,3,2,2,3,2,3,3,3,3,3,2,4,4,3,3,3,3,4,3,3,2,3,2,2,3,3,2,4,2,3,1,3,4,2,3,3,3,3,3,2,3,3,8,3,4,3,4,2,5,4,1,3,4,6,3,3,4,3,3,3,3,3,4,2,2,3,4,3,3,3,3,4,4,3,5,3,3,3,3,2,3,4,3,2,4,3,2,4,4,4,1,3,4,2,3,43.734,13,1,43.734,13,5,43.734,13,2,43.734,13,3,43.734,13,8,43.734,13,6,43.734,13,3,43.734,13,6,43.734,13,8,43.735,13,6,4,2,3,3,3,3,4,4,0,10
4/18/2020 9:19,4/18/2020 9:34,0,196.247.50.60,100,924,1,4/18/2020 9:34,R_1DG7H9YrogJuUgf,,,,,33.7552948,-84.38860321,anonymous,EN,0,Chrome,81.0.4044.113,Windows NT 6.1,1366x768,,,,,,31,2,1,16,7,On,Off,Off,Off,Off,Off,Off,Off,Off,1,2,,4,4,3,3,3,4,1,5,1,1,3,2,1,2,2,4,1,2,4,1,2,1,2,4,2,1,2,5,5,2,5,1,1,3,1,4,5,4,1,4,1,5,2,2,4,5,2,7,5,4,2,1,5,2,4,4,1,1,7,5,4,5,5,1,4,2,1,5,4,8,4,5,2,5,4,5,1,4,4,5,5,4,1,4,1,5,4,2,5,2,7,5,4,4,4,1,2,4,5,5,4,4,1,4,5,5,4,4,5,5,4,83.096,14,0,83.095,14,5,83.095,14,3,83.088,14,5,83.097,14,4,83.087,14,8,83.097,14,6,83.099,14,5,83.098,14,5,83.091,14,8,4,4,5,5,5,4,4,5,0,10
4/18/2020 9:26,4/18/2020 9:39,0,71.218.76.120,100,798,1,4/18/2020 9:39,R_viBcfiV8Z06fLr3,,,,,39.64199829,-104.8957977,anonymous,EN,0,Chrome,80.0.3987.163,Windows NT 10.0,1280x1024,,,,,,28,3,2,16,3,Off,Off,Off,Off,Off,Off,Off,Off,Off,0,,,4,4,3,3,4,3,3,3,4,4,4,4,2,4,3,3,4,3,4,4,3,3,2,4,3,4,4,3,3,4,4,4,4,4,3,5,5,2,3,4,4,3,3,3,4,4,0,7,4,1,4,3,4,3,3,4,4,2,8,3,3,2,4,4,4,3,4,3,3,7,5,3,3,3,4,4,4,4,4,4,3,4,4,5,2,4,4,4,3,3,8,4,3,3,4,4,4,4,4,3,5,4,4,3,4,3,3,4,5,4,4,106.951,20,0,106.952,20,5,106.952,20,6,106.951,20,5,106.951,20,7,106.951,20,1,106.951,20,5,106.951,20,2,106.951,20,1,106.951,20,3,4,4,4,3,5,3,4,4,0,11
4/18/2020 9:37,4/18/2020 9:49,0,64.137.72.27,100,726,1,4/18/2020 9:49,R_1OpGbpl4DEW1BdJ,,,,,37.75100708,-97.8219986,anonymous,EN,0,Chrome,80.0.3987.163,Windows NT 10.0,1366x768,,,,,,34,1,2,17,3,On,Off,Off,Off,Off,Off,Off,Off,Off,-1,,-2,4,3,2,3,4,3,4,5,4,3,4,3,5,5,4,4,4,4,5,3,3,4,4,4,5,3,4,4,4,3,5,5,4,4,3,3,4,3,4,5,4,4,3,5,4,3,1,5,3,4,5,4,4,5,4,3,3,4,7,4,3,4,3,4,4,3,4,5,5,5,4,5,3,4,3,5,4,3,4,4,4,4,3,4,3,5,3,5,4,4,5,5,4,3,5,4,3,4,4,3,4,4,3,4,5,4,3,4,5,4,3,125.68,14,0,125.681,14,6,125.68,14,6,125.68,14,3,125.68,14,5,125.68,14,5,125.68,14,3,125.68,14,5,125.68,14,4,125.68,14,8,4,3,3,4,4,5,5,3,0,10
4/18/2020 10:13,4/18/2020 10:19,0,181.214.99.18,100,384,1,4/18/2020 10:19,R_exrGrPhThAQhRjb,,,,,41.84829712,-87.65170288,anonymous,EN,0,Chrome,80.0.3987.163,Windows NT 10.0,1536x864,,,,,,26,1,1,17,6,On,Off,Off,Off,Off,Off,Off,Off,Off,0,,,4,4,3,1,4,2,2,3,4,4,3,3,4,4,3,3,4,4,3,2,3,2,3,4,3,4,4,2,3,3,4,4,3,3,4,3,3,2,3,4,3,3,3,2,3,4,1,7,4,3,3,4,3,4,4,4,3,3,6,4,3,2,4,3,2,4,3,4,4,7,2,3,3,3,4,4,4,3,3,4,3,4,4,4,2,3,3,4,4,3,7,3,4,4,4,3,4,3,3,3,4,4,4,3,4,3,3,4,4,3,3,71.731,17,1,71.731,17,6,71.731,17,6,71.73,17,5,71.73,17,5,71.731,17,8,71.731,17,4,71.731,17,5,71.731,17,5,71.731,17,5,4,4,3,3,3,4,4,3,0,11
4/18/2020 10:19,4/18/2020 10:53,0,96.45.31.224,100,2078,1,4/18/2020 10:53,R_23QiEcniauMmCnT,,,,,38.44140625,-92.99469757,anonymous,EN,0,Chrome,80.0.3987.163,Windows NT 10.0,1707x960,,,,,,62,1,2,14,2,On,Off,Off,Off,Off,Off,Off,Off,Off,0,,,4,4,3,3,3,1,2,4,2,2,2,4,2,2,2,2,4,2,4,2,4,2,2,4,2,2,2,4,4,2,4,2,2,4,2,4,2,1,5,1,4,4,2,1,1,1,0,5,4,2,2,2,4,2,4,4,2,2,8,2,4,4,3,2,4,2,3,2,4,5,4,2,2,2,4,3,3,5,4,5,3,3,2,2,2,3,2,2,4,3,5,4,2,4,4,3,3,4,4,2,4,4,2,4,4,2,3,4,4,2,4,465.446,11,1,465.446,11,7,465.446,11,5,465.447,11,3,465.447,11,8,465.447,11,8,465.447,11,6,465.447,11,7,465.447,11,5,465.447,11,5,3,3,3,2,3,4,4,3,0,11
4/18/2020 10:56,4/18/2020 11:13,0,104.171.216.112,100,1022,1,4/18/2020 11:13,R_Dkj4RvZyCZtj7WN,,,,,35.14920044,-86.56459808,anonymous,EN,0,Chrome,80.0.3987.163,Windows NT 10.0,1536x864,,,,,,34,1,1,14,2,On,Off,Off,Off,Off,Off,Off,Off,Off,1,3,,4,2,3,1,4,1,2,4,2,4,1,4,1,4,1,1,4,1,5,2,4,1,1,2,4,3,2,4,3,2,4,2,1,3,2,4,5,1,5,2,4,4,1,1,1,1,1,4,5,1,1,1,5,1,5,5,1,1,9,1,5,5,5,1,4,1,2,4,4,7,3,5,4,5,3,5,5,2,4,3,1,2,2,3,5,1,4,4,1,5,5,4,3,3,4,3,3,2,4,2,4,4,1,3,5,2,3,2,4,1,4,378.263,14,1,378.263,14,2,378.263,14,1,378.263,14,3,378.263,14,8,378.263,14,8,378.263,14,6,378.263,14,7,378.263,14,5,378.262,14,8,1,1,2,2,1,1,1,2,0,10
4/18/2020 11:05,4/18/2020 11:15,0,12.205.243.138,100,611,1,4/18/2020 11:15,R_2f9SRjRUzPjjYGz,,,,,36.70820618,-84.51650238,anonymous,EN,0,Chrome,80.0.3987.163,Windows NT 6.3,1364x768,,,,,,51,4,1,16,8,On,Off,Off,Off,Off,Off,Off,Off,Off,1,2,,3,3,2,3,3,2,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,3,3,4,4,3,4,4,3,3,3,4,4,4,4,4,4,3,4,3,4,3,3,4,0,6,3,4,4,3,4,3,3,4,4,4,8,4,3,4,4,3,4,4,3,3,4,6,3,4,3,4,3,4,4,3,3,4,4,4,3,4,4,3,4,4,3,4,5,4,3,3,4,4,4,4,3,3,4,4,3,4,3,4,3,4,4,4,3,118.153,14,1,118.153,14,4,118.153,14,2,118.153,14,6,118.152,14,3,118.152,14,8,118.152,14,7,118.153,14,8,118.152,14,6,118.152,14,6,4,4,3,4,4,4,3,3,0,10
4/18/2020 13:31,4/18/2020 13:46,0,73.124.103.214,100,887,1,4/18/2020 13:46,R_3HpMpHycfAZfF8Q,,,,,25.99200439,-80.27020264,anonymous,EN,0,Firefox,75,Windows NT 10.0,1536x864,,,,,,29,1,1,15,5,On,Off,Off,Off,Off,Off,Off,Off,Off,0,,,4,4,4,3,4,1,1,5,1,5,1,5,1,4,1,1,4,1,5,1,4,1,1,5,1,1,1,5,5,2,5,1,1,4,1,4,4,1,4,2,4,5,1,1,1,3,0,5,5,1,1,1,5,1,5,5,1,1,8,1,5,5,4,5,4,5,1,5,4,6,5,1,1,2,5,3,1,5,5,5,5,5,1,5,1,4,4,1,5,1,5,5,1,5,5,1,1,5,5,1,5,5,1,5,5,1,1,4,4,1,5,150.369,14,1,150.369,14,2,150.369,14,5,150.369,14,3,150.368,14,8,150.369,14,3,150.369,14,5,150.369,14,2,150.369,14,5,150.37,14,5,4,4,4,3,4,4,5,4,0,11
4/18/2020 13:29,4/18/2020 13:53,0,198.228.135.144,100,1428,1,4/18/2020 13:53,R_2zqMaVqtFUe9iei,,,,,37.75100708,-97.8219986,anonymous,EN,0,Chrome,83.0.4103.14,Windows NT 6.2,1366x768,,,,,,56,1,1,16,4,On,Off,Off,Off,Off,Off,Off,Off,Off,1,2,,4,3,3,3,3,3,3,4,4,5,3,4,3,4,3,4,3,4,3,5,3,4,4,4,5,4,4,3,4,4,4,4,4,4,3,3,3,4,3,3,3,4,4,4,4,4,1,4,4,4,4,4,4,3,3,5,4,5,6,4,4,4,4,4,5,3,4,4,3,6,3,3,4,5,4,4,3,4,4,5,4,3,3,5,4,3,4,4,5,4,6,4,4,4,4,4,3,5,5,4,4,3,4,3,4,4,4,3,3,4,4,475.211,40,1,475.211,40,2,475.212,40,1,475.212,40,2,475.212,40,8,475.212,40,5,475.212,40,6,475.212,40,3,475.212,40,3,475.212,40,3,4,4,4,4,3,3,4,3,0,10
